Country Name,Indicator Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,"Community health workers (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Mortality rate, under-5 (per 1,000 live births)",220.9,218.2,214.6,210.3,205.1,198.9,191.9,184.2,175.5,166.2,156.8,147.1,137.5,128.5,120,112.2,104.9,98.3,92.9,88.3,84.4,81.1,78,75,72.1,69.4,
Angola,"Agriculture, forestry, and fishing, value added (% of GDP)",7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384502,6.250877905,5.060402948,5.191280189,5.242278337,4.805339338,6.621196764,6.180293498,5.84568088,6.069629991,6.50749232,7.547056779,9.122534372,9.83116886,10.01699597,8.607741802,7.882624763,9.946543571,11.48590514,13.64910946
Angola,CPIA public sector management and institutions cluster average (1=low to 6=high),,,,,,,,,,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,,,,,,,,,
Angola,Ease of doing business rank (1=most business-friendly regulations),,,,,,,,,,,,,,,,,,,,,,,,177,,,
Angola,Marine protected areas (% of territorial waters),,,,,,,,,,,,,,,,,,,,,0.004860726,0.004929827,0.004929827,0.00493,0.00493,0.004929823,0.0049298
Angola,"Annual freshwater withdrawals, total (% of internal resources)",0.399355509,0.407692308,0.416029106,0.424365904,0.432702703,0.441527027,0.450351351,0.459175676,0.468,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,,
Angola,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,,,,,1.011764676,,,,,,,,,,,,,
Angola,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Disaster risk reduction progress score (1-5 scale; 5=best),,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Methane emissions (% change from 1990),-5.229774578,-31.67062621,-27.06425346,-27.0415843,-28.55452386,-29.7396674,-28.84242215,-29.31847446,-28.3246586,-25.83286484,-24.72162275,-24.96055567,-21.59826626,-18.40055494,-15.65985383,-14.81645237,-13.97305091,,,,,,,,,,
Angola,Methane emissions (kt of CO2 equivalent),25690.9888,26088.56973,28337.72315,27517.93908,27459.2825,27461.15,29195.3,31225.92,32190.235,33940.2375,33496.67019,36458.98038,37601.57807,36731.97826,38100.52595,37827.83037,36964.16479,37028.61921,36190.28613,38455.63556,38558.28907,37896.82008,34015.56609,35023.4996,32703.23811,,
Angola,HFC gas emissions (thousand metric tons of CO2 equivalent),,,,,0.7,,,,,19.3,,,26.5,,31,,,,,,,,,,,,
Angola,CO2 emissions from solid fuel consumption (% of total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Angola,CO2 emissions from solid fuel consumption (kt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Angola,CO2 emissions (kg per 2017 PPP $ of GDP),0.235592596,0.229749998,0.227782294,0.234157362,0.209039374,0.197528679,0.170878951,0.177289405,0.166357398,0.13101192,0.122998558,0.110540942,0.112965805,0.122866809,0.126910211,0.128376662,0.118284507,0.127294385,0.133383246,0.141232776,0.13522466,0.114982838,0.109881184,0.11414836,0.098304023,,
Angola,CO2 emissions (kg per PPP $ of GDP),0.361663791,0.346715804,0.339920424,0.344578056,0.300800496,0.27797437,0.236780947,0.240909108,0.220144607,0.168099802,0.153094109,0.13396782,0.134330219,0.145173235,0.14817002,0.146831392,0.128236936,0.134884114,0.13437038,0.154683994,0.144091504,0.114982838,0.107301591,0.109504162,0.093089722,,
Angola,CO2 emissions (metric tons per capita),1.073630274,1.086325156,1.091172539,1.109791073,0.988416416,0.941818497,0.895716802,0.924988063,0.92981108,0.812875088,0.821263802,0.811413506,0.888609845,0.93945736,0.975916772,0.983787081,0.947583107,1.031043636,1.091497057,1.125185364,1.012552124,0.829723217,0.755827619,0.753638205,0.592742968,,
Angola,CO2 emissions from liquid fuel consumption (% of total),61.73801052,28.41690537,24.31766051,29.336,29.67394503,33.34669249,36.88538913,37.99345919,26.11953344,26.01737507,38.16636676,37.49737761,40.77856061,45.32763168,46.90109709,48.73151731,57.13246612,53.18379037,81.62066416,48.58044937,50.64001694,,,,,,
Angola,CO2 emissions from liquid fuel consumption (kt),7044.307,3333.303,2764.918,3711.004,3670.667,4305.058,5023.79,6842.622,5038.458,4737.764,7763.039,8808.134,10227.263,12306.452,13380.883,14356.305,17282.571,17454.92,28265.236,17080.886,17931.63,,,,,,
Angola,CO2 emissions (kt),15442.4,16154.9,16767.9,17613.22,16204.16,15955.9,15689.5,16764.8,17453.6,15811.2,16558.6,16966.4,19275.3,21145,22801.5,23865.8,23868,26958.7,29610.5,31648.9,29520.7,25064.8,23637.4,24382.9,19814.5,,
Angola,CO2 emissions (kg per 2015 US$ of GDP),0.605302075,0.590290837,0.585235264,0.601614565,0.537079555,0.507505419,0.43903495,0.455505168,0.427417839,0.336605601,0.316017073,0.284010036,0.290240174,0.315678574,0.326067183,0.329834898,0.30390538,0.327054232,0.342698189,0.362865786,0.347429286,0.295422487,0.282314938,0.293278484,0.252570029,,
Angola,CO2 emissions from gaseous fuel consumption (% of total),9.191603856,9.097161125,9.546455585,8.290608696,8.774713015,7.669171185,8.507870778,6.759822321,7.470870918,6.866814937,6.418151426,6.790740741,5.073560606,4.754268877,4.807073256,4.767348948,4.703457851,2.335170628,1.673075368,4.098779863,4.225179328,,,,,,
